comp_name;inn;ogrn;full_name;short_name;addr;form;date;dividents;audit_name;audit_inn;dir_q
"АО ""Химзавод им. Карпова""";1627001703;1021601116;"Акционерное общество ""Химический завод имени Л . Я . Карпова""";"АО ""Химзавод им . Карпова""";страна РФ, None РТ, город Менделеевск, улица Пионерская;заочное голосование;28/04/2020;Принято решение выплачивать дивиденды;Химзавод им. Карпова;;Вопрос не поднимался
ООО «С-Инновации»;1115032007;1115032007;"Общество с ограниченной ответственностью ""С - Инновации""";"ООО ""С - Инновации""";индекс 117246, город Москва, проезд Научный, дом 20, строение None;очное;30/04/2020;Вопрос не поднимался;С-Инновации;;Вопрос не поднимался
"ПАО ""Уралтрансстрой""";6659001494;1036603148;"Открытое акционерное общество ""Уралтрансстрой""";"ОАО ""Уралтрансстрой""";индекс 620027, город Екатеринбург, улица Братьев Быковых;заочное голосование;29/04/2020;Принято решение не выплачивать дивиденды;Региональный центр аудита;6686080801;Вопрос поднимался
"ПАО ""КЗМС""";5916000015;1025901844;"Публичное Акционерное Общество ""Краснокамский завод металлических сеток""";"ПАО ""КЗМС""";страна Россия, край Пермский, город Краснокамск, улица Шоссейная;заочное голосование;30/04/2020;Принято решение выплачивать дивиденды;Инвест-аудит;;Вопрос не поднимался
ООО «Лизинг-Трейд»;1655096633;1051622076;"Общество с ограниченной ответственностью ""Лизинг - Трейд""";"ООО ""Лизинг - Трейд""";республика Татарстан, город Казань;очное;30/04/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""ХМДС""";8601013827;1028600579;"Открытое акционерное общество ""Ханты - Мансийскдорстрой""";"ОАО ""ХМДС""";область Тюменская, None ХМАО, город Сургут, улица Маяковского;очное;30/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""Электроприбор""";2128002051;1022101131;"Открытое Акционерное Общество ""Электроприбор""";"ОАО ""Электроприбор""";индекс 428000, республика Чувашская, город Чебоксары, проспект И. Яковлева;заочное голосование;27/04/2020;Принято решение выплачивать дивиденды;БИЗНЕСАУДИТ;;Вопрос поднимался
"ПАО АРКБ ""Росбизнесбанк""";7706096522;1027739149;"Акционерный Российский Коммерческий Банк ""Росбизнесбанк"" ( Публичное Акционерное Общество )";"ПАО АРКБ ""Росбизнесбанк""";индекс 115162, город Москва, улица Мытная, дом 44, строение None, офис 1-54;заочное голосование;30/04/2020;Принято решение не выплачивать дивиденды;Коллегия Налоговых Консультантов;5041021111;Вопрос не поднимался
"ОАО ""ЗиД""";3305004083;1023301951;"Открытое акционерное общество ""Завод им . В . А . Дегтярева"" .";"ОАО ""ЗиД"" .";область Владимирская, город Ковров, улица Труда;заочное голосование;30/04/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
ООО «КТЖ Финанс»;7704391000;1177746116;"Общество с ограниченной ответственностью ""КТЖ Финанс""";"ООО ""КТЖ Финанс""";индекс 119435, страна РФ, город Москва, переулок Большой Саввинский, дом 10, строение None;очное;30/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ООО ""Атомстройкомплекс-Строительство""";6685028774;1136685004;"Общество с ограниченной ответственностью ""Атомстройкомплекс - Строительство""";"ООО ""Атомстройкомплекс - Строительство""";город Екатеринбург, область Свердловской;очное;30/04/2020;Принято решение выплачивать дивиденды;Атомстройкомплекс-Строительство;6673187360;Вопрос не поднимался
"АО ""Тагилоптторг""";6669006396;1026601380;"Акционерное общество ""Нижнетагильская база оптовой тоговли""";"АО ""Тагилоптторг""";страна Россия, область Свердловская, индекс 622059, город Нижний Тагил, улица Фестивальная;заочное голосование;27/04/2020;Принято решение не выплачивать дивиденды;Аудит-Тест;;Вопрос не поднимался
"ООО ""КВС""";6450090478;1156451022;"Общество с ограниченной ответственностью ""Концессии водоснабжения - Саратов""";"ООО ""КВС""";область Саратовская, город Саратов;заочное голосование;30/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""БСК""";0268008010;1020202079;"Акционерное общество ""Башкирская содовая компания""";"АО ""БСК""";республика Башкортостан, город Стерлитамак;заочное голосование;29/04/2020;Принято решение выплачивать дивиденды;Делойт и Туш СНГ;;Вопрос не поднимался
"ООО ""Кузина""";5404373487;1085404027;"Общество с ограниченной отвественностью ""Кузина""";"ООО ""Кузина""";страна Россия, город Новосибирск, проспект Красный;очное;30/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
ООО «НПФ»;6658196868;1046602689;"Общество с ограниченной ответственностью ""Недвижимость пенсионного фонда""";"ООО ""НПФ""";индекс 620075, область Свердловская, город Екатеринбург, улица Первомайская, дом 15, офис 801;очное;16/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Дирекция жилого района ""Южный""";3102202040;1073130002;"Публичное акционерное общество ""Дирекция жилого района"" Южный """;"ПАО ""Дирекция жилого района"" Южный """;область Белгородская;заочное голосование;30/04/2020;Принято решение не выплачивать дивиденды;Лига – Аудит;;Вопрос поднимался
"АО ""Трансэнерго""";7423023178;1087423000;"Акционерное общество ""Трансэнерго""";"АО ""Трансэнерго""";индекс 456770, город Снежинск, область Челябинской, улица Транспортная, дом 44;заочное голосование;29/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ООО ""ПЮДМ""";7703408540;1167746342;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Первый ювелирный - драгоценные металлы""";"ООО ""ПЮДМ""";индекс 123557, город Москва, улица Пресненский Вал, дом 27, строение None;очное;30/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""ДЭМ""";2702030546;1022701130;"Акционерное общество ""Дальэлектромонтаж""";"АО ""ДЭМ""";индекс 680028, край Хабаровский, город Хабаровск, улица Серышева;очное;30/04/2020;Принято решение не выплачивать дивиденды;" АО ""ДЭМ"" на 2020 финансовый год ООО БИЗНЕС-ОЦЕНКА"". 2.8 Дата составления протокола общего собрания участников (акционеров) эмитента: 30 апреля 2020года протокол №25 3. Подпись 3.1. Наименование должности уполномоченного лица эмитента Павленко В.А. (подпись) (И.О. Фамилия) 3.2. Дата “ 30 ” апреля 2020 г. М.П";;Вопрос поднимался
"АО ""Волга""";5244009279;1025201418;"Акционерное общество ""Волга""";"АО ""Волга""";область Нижегородская, город Балахна, улица Горького, дом 1;собрание;27/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ООО ""АРАГОН""";5433158068;1055475001;"Общество с ограниченной ответственностью ""АРАГОН""";"ООО ""АРАГОН""";проезд Автомобилистов;собрание;30/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""Бамстроймеханизация""";2808001344;1022800775;"Публичное акционерное общество ""Бамстроймеханизация""";"ПАО ""Бамстроймеханизация""";страна Россия, область Амурская, город Тында;заочное голосование;29/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""ЦНИИСМ""";5042003203;1025005330;"Акционерное общество ""Центральный научно - исследовательский институт специального машиностроения""";"АО ""ЦНИИСМ""";индекс 141371, область Московская, город Хотьково, улица Заводская;заочное голосование;29/04/2020;Принято решение выплачивать дивиденды;за;;Вопрос поднимался
"ПАО ""СЕВАСТОПОЛЬСКОЕ АТП 14369""";9203535745;1159204004;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ 14369""";"ПАО "" СЕВАСТОПОЛЬСКОЕ АТП";индекс 299012, город Севастополь, улица Паршина, дом 6;очное;24/04/2020;Принято решение не выплачивать дивиденды;Аудиторская фирма «Лекс-сервис, ЛТД;9204547133;Вопрос не поднимался
ПАО МРП;7712019406;1027739015;"Открытое акционерное общество ""Московское речное пароходство""";ОАО МРП;индекс 125195, None Москва, шоссе Ленинградское, дом 59;заочное голосование;28/04/2020;Принято решение не выплачивать дивиденды;Группа Финансы;;Вопрос не поднимался
АО ЧМЗ;1829008035;1021801092;"Чепецкий механический завод """;АО ЧМЗ;республика Удмуртская, город Глазов;собрание;29/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""ЭКОС""";6163024016;1026103164;"Акционерное общество ""ЭКОС""";"АО ""ЭКОС""";страна Россия, индекс 344037, область Ростовская, город Ростов-на-Дону, улица Буйнакская, дом №4а;заочное голосование;29/04/2020;Принято решение выплачивать дивиденды;РостАудит;;Вопрос не поднимался
"АО ""ТОКБА""";7104002164;1027100594;"Акционерное общество ""Тульское ОКБА""";"АО ""ТОКБА""";страна Россия, индекс 300028, город Тула, улица Болдина;заочное голосование;28/04/2020;Принято решение не выплачивать дивиденды;ХАРС;;Вопрос поднимался
"ОАО ""ПОЛИПАКС ""ОЗЛБ""";5507004509;1025501383;"Открытое акционерное общество ""ПОЛИПАКС « Омский завод ламинированной бумаги""";"ОАО ""ПОЛИПАКС « ОЗЛБ""";индекс 644073, город Омск, улица 2-я Солнечная;очное;29/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ОАО ""Ростов-Мебель""";6165012810;1026103711;"Открытое акционерное общество ""Ростов - Мебель""";"ОАО ""Ростов - Мебель""";индекс 344012, город Ростов-на-Дону, улица Юфимцева;собрание;29/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО ""Выборжанин""";7802030570;1027801533;"Акционерное общество ""Выборжанин""";"АО ""Выборжанин""";индекс 194292, None Санкт-Петербург, переулок 4-й Верхний;очное;29/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""Группа ЛСР""";7838360491;5067847227;"Публичное акционерное общество ""Группа ЛСР""";"ПАО ""Группа ЛСР""";город Санкт-Петербург;заочное голосование;29/04/2020;Принято решение выплачивать дивиденды;Аудит-сервис СПб;;Вопрос поднимался
"АО АФХП ""Сардаана""";1435016907;1021401045;"Публичное акционерное общество ""Акционерная фирма художественных промыслов"" Сардаана """;"ПАО АФХП ""Сардаана""";индекс 677001, республика Саха, город Якутск, улица П.Осипенко;очное;29/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""МАЛЕДИЛИ-Сильвер""";7705051141;1027700460;"Открытое акционерное общество ""5 - й таксомоторный парк""";"ОАО ""5 ТМП""";индекс 115172, город Москва, набережная Гончарная, дом 9/16, строение None;очное;27/04/2020;Принято решение не выплачивать дивиденды;Российский Союз аудиторов;7725085718;Вопрос поднимался
"ОАО ""Гидропресс""";5611003815;1025601719;"Открытое акционерное общество ""Гидропресс""";"ОАО ""Гидропресс""";индекс 460003, город Оренбург;очное;24/04/2020;Принято решение выплачивать дивиденды;Гидропресс;;Вопрос поднимался
"ОАО ""Цветы Заполярья""";5193101932;1025100839;"Открытое акционерное общество ""Цветы Заполярья""";"ОАО ""Цветы Заполярья""";индекс 183008, город Мурманск, проспект Кольский, дом 120;собрание;29/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Таттелеком""";1681000024;1031630213;"Публичное акционерное общество ""Таттелеком""";"ПАО ""Таттелеком""";республика Татарстан, индекс 420061, город Казань, улица Н.Ершова, дом 57;заочное голосование;24/04/2020;Принято решение выплачивать дивиденды;Таттелеком;;Вопрос поднимался
"АО ""ОКБ ""Кристалл""";7720015691;1027739249;"Акционерное общество ""Опытное конструкторское бюро"" Кристалл """;"АО ""ОКБ"" Кристалл """;индекс 111024, город Москва, проезд Энтузиастов, дом 15, корпус 67;заочное голосование;28/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""Амур-Зея""";2801005029;1022800508;"Открытое акционерное общество ""Амур - Зея""";"ОАО ""Амур - Зея""";область Амурская, город Благовещенск, улица Зейская;;29/04/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""Амуркабель""";2702011416;1032700445;"Акционерное общество ""Амуркабель""";"АО ""Амуркабель""";индекс 115563, город Москва, проезд Борисовский, корпус 1, строение None;заочное голосование;27/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""ННК - Хабаровскнефтепродукт""";2700000105;1022700910;"Публичное акционерное общество ""ННК - Хабаровскнефтепродукт""";"ПАО ""ННК - Хабаровскнефтепродукт""";индекс 680030, город Хабаровск, улица Мухина, дом 22;заочное голосование;28/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ЗАОр ""НП ""Арххлеб""";2901009620;1022900507;"Закрытое акционерное общество работников ""Народное предприятие"" АРХАНГЕЛЬСКХЛЕБ """;"ЗАОр ""НП"" Арххлеб """;индекс 163013, город Архангельск, улица Мещерского, дом 3;очное;27/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""АВТО-40""";7720088347;1027739193;"Акционерное общество ""АВТО - 40""";"АО ""АВТО - 40""";индекс 111402, None Москва, улица Кетчерская, дом 13;очное;28/04/2020;Принято решение не выплачивать дивиденды;Аудиторская Фирма Константа;5026008684;Вопрос поднимался
"АО ""СВЕТЛОЯР""";5263000112;1025204412;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕТЛОЯР""";"АО ""СВЕТЛОЯР""";индекс 603127, город Нижний Новгород, улица Коновалова, дом 15;заочное голосование;27/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ОАО ""Племзавод ""Урожай""";2334001487;1022303977;"Открытое акционерное общество ""Племзавод"" Урожай """;"ОАО ""Племзавод"" Урожай """;индекс 353700, край Краснодарский, улица Дружбы;очное;27/04/2020;Принято решение не выплачивать дивиденды;Аудит БЕЗ границ;2309063521;Вопрос не поднимался
"ООО ""Сэтл Групп""";7810245481;1027804904;"Общество с ограниченной ответственностью ""Сэтл Групп""";"ООО ""Сэтл Групп""";страна РФ, город Санкт-Петербург;очное;28/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО  БАНК ""СИАБ""";2465037737;1022400003;"Публичное акционерное общество ""Санкт - Петербургский Индустриальный Акционерный Банк""";"ПАО БАНК ""СИАБ""";страна Россия, город Санкт-Петербург, улица Черниговская, дом 8;заочное голосование;28/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
ПАО Московская Биржа;7702077840;1027739387;"Публичное акционерное общество ""Московская Биржа ММВБ - РТС""";ПАО Московская Биржа;город Москва;заочное голосование;28/04/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""6-й таксомоторный парк""";7723082311;1027739831;"Акционерное общество ""6 - й таксомоторный парк""";"АО ""6 - й таксомоторный парк""";индекс 109651, город Москва, улица Перерва, дом 19;собрание;28/04/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""УХП""";6623005777;1026601369;"Публичное акционерное общество ""Уралхимпласт""";"ПАО ""УХП""";страна Россия, индекс 622012, область Свердловская, None Нижний Тагил, шоссе Северное;заочное голосование;23/04/2020;Принято решение выплачивать дивиденды;Уралхимпласт;;Вопрос поднимался
ООО «Фольксваген Банк РУС»;7750005605;1107711000;"Общество с ограниченной ответственностью ""Фольксваген Банк РУС""";"ООО ""Фольксваген Банк РУС""";город Москва;очное;27/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""ТПП ""Тюменнефть""";7202022070;1027200825;"Открытое акционерное общество ""Торгово - производственное предприятие"" Тюменнефть """;"ОАО ""ТПП"" Тюменнефть """;индекс 625034, город Тюмень, улица Барабинская;очное;28/04/2020;Принято решение выплачивать дивиденды;СибМаш-Лидер;;Вопрос не поднимался
"АО ВП ""ЭРА""";2504000733;1022501275;"Акционерное общество Владивостокское предприятие ""Электрорадиоавтоматика""";"АО ВП ""ЭРА""";индекс 690001, город Владивосток, улица Пионерская;заочное голосование;27/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""ПТУ""";4223003154;1024201880;"Открытое акционерное общество ""Прокопьевское транспортное управление""";"ОАО ""ПТУ""";индекс 653000, страна РФ, область Кемеровская, город Прокопьевск, улица Энергетическая;очное;28/04/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"ОАО ""Судо-Волга""";6320003587;1026301977;"Открытое акционерное общество ""Судо - Волга""";"ОАО ""Судо - Волга""";страна РФ, область Самарская, город Тольятти, улица Никонова;собрание;24/04/2020;Принято решение не выплачивать дивиденды;Аудит-Право;6320009701;Вопрос поднимался
"ОАО ""Завод Старт""";4506000010;1024501452;"Открытое акционерное общество ""Завод Старт""";"ОАО ""Завод Старт""";индекс 641730, область Курганская, город Далматово, улица Рукманиса;собрание;28/04/2020;Принято решение выплачивать дивиденды;Аудитфинанссервис;;Вопрос не поднимался
"АО ""Бамтоннельстрой""";0317000144;1022401793;"Акционерное общество ""Бамтоннельстрой""";"АО ""Бамтоннельстрой""";индекс 660021, город Красноярск, улица Бограда;очное;28/04/2020;Принято решение не выплачивать дивиденды;Бамтоннельстрой;;Вопрос не поднимался
"ОАО ""Новоаннинский завод ""ЭМА""";3419004200;1023405766;"Открытое акционерное общество ""Новоаннинский завод электромедицинской аппаратуры""";"ОАО ""Новоаннинский завод"" ЭМА """;индекс 403953, страна Россия, область Волгоградская, город Новоаннинский, переулок Красные Баррикады;собрание;27/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""Горняк""";0323066256;1020300898;"Акционерное общество ""Горняк""";"АО ""Горняк""";индекс 670049, республика Бурятия, город Улан-Удэ, улица Домостроительная, строение None;очное;28/04/2020;Вопрос не поднимался;Триада-Аудит;;Вопрос не поднимался
ООО «СФО ИнвестКредит Финанс»;7702403476;1167746649;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННОЕ ФИНАНСОВОЕ ОБЩЕСТВО ИНВЕСТКРЕДИТ ФИНАНС""";"ООО ""СФО ИНВЕСТКРЕДИТ ФИНАНС""";индекс 129090, город Москва, переулок Ботанический, дом 5;собрание;27/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
АО «ОТП Банк»;7708001614;1027739176;"Акционерное общество ""ОТП Банк""";"АО ""ОТП Банк""";индекс 125171, город Москва, шоссе Ленинградское, дом 16 А, строение None;заочное голосование;27/04/2020;Принято решение не выплачивать дивиденды;ОТП Банк;;Вопрос поднимался
"АО ""Рыбинский мясокомбинат"", АО ""РМК""";7610023971;1027601122;"Акционерное общество ""Рыбинский мясокомбинат""";"АО ""Рыбинский мясокомбинат"" , АО ""РМК""";страна Россия, индекс 152929, область Ярославская, город Рыбинск, улица Труда, дом 99;собрание;27/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""АВТОМАТИКА""";3663004090;1023602096;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОМАТИКА""";"ПАО ""АВТОМАТИКА""";индекс 394029, город Воронеж, улица Меркулова, дом 7, офис 95;собрание;24/04/2020;Принято решение не выплачивать дивиденды;За;;Вопрос не поднимался
"ОАО мясокомбинат ""Тамбовский""";6829000250;1026801222;"Открытое акционерное общество мясокомбинат ""Тамбовский""";"ОАО мясокомбинат ""Тамбовский""";индекс 392008, город Тамбов, улица Чичканова;очное;27/04/2020;Принято решение не выплачивать дивиденды;Эксперт Аудит;6829000250;Вопрос поднимался
"АО ""Юрьев-Польскийсельхозхимия""";3326001622;1023301252;"Открытое акционерное общество ""ЮРЬЕВ - ПОЛЬСКИЙСЕЛЬХОЗХИМИЯ""";"ОАО ""Юрьев - Польскийсельхозхимия""";индекс 601800, область Владимирская, город Юрьев-Польский, улица Поселок Нефтебазы;очное;27/04/2020;Принято решение не выплачивать дивиденды;ЮРЬЕВ-ПОЛЬСКИЙСЕЛЬХОЗХИМИЯ;3702602594;Вопрос поднимался
"ООО ""О'КЕЙ""";7826087713;1027810304;"Общество с ограниченной ответственностью ""О ’ КЕЙ""";"ООО ""О ’ КЕЙ""";индекс 195213, None Санкт-Петербург, проспект Заневский, дом 65, корпус 1;очное;27/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ЗАО ""ОБД""";2312016730;1022301172;"Закрытое акционерное общество ""ОБД""";"ЗАО ""ОБД""";страна Россия, индекс 350059, город Краснодар, улица Тихорецкая;собрание;21/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""ТД ""ПРЕОБРАЖЕНСКИЙ""";7718013802;1027739040;"Открытое акционерное общество ""Торговый дом"" ПРЕОБРАЖЕНСКИЙ """;"ОАО ""ТД"" ПРЕОБРАЖЕНСКИЙ """;индекс 107143, город Москва, шоссе Открытое, строение None;очное;27/04/2020;Принято решение не выплачивать дивиденды;АудитКонсалтингГрупп;;Вопрос поднимался
"ОАО ""Оптовый рынок строительных материалов""";5751022896;1025700772;"Открытое акционерное общество ""Оптовый рынок строительных материалов""";"ОАО ""Оптовый рынок строительных материалов""";город Орел, улица Старо-Московская;заочное голосование;23/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""ВНИИМонтажспецстрой""";7720031767;1027739586;"Открытое акционерное общество ""Институт по монтажным и специальным строительным работам""";"ОАО ""ВНИИМонтажспецстрой""";индекс 111141, город Москва, проезд 2-й, дом 9;очное;27/04/2020;Вопрос не поднимался;;;Вопрос поднимался
"АО ""Торговый дом Казанский ЦУМ""";1654002880;1021602824;"Акционерное общество ""Торговый дом Казанский Центральный универсальный магазин""";"АО ""Торговый дом Казанский ЦУМ""";республика Татарстан, индекс 420111, город Казань, улица Московская, дом 2;заочное голосование;24/04/2020;Принято решение не выплачивать дивиденды;"Аудиторская компания ""ФБК Поволжье"". Вопрос 5. Избрание генерального директора общества Итоги голосования:""ЗА""-275267голосов (99,9673%) ""ПРОТИВ"" 0 голосов ""ВОЗДЕРЖАЛСЯ"" 20 голосов (0,0073%). Формулировка принятого решения по вопросу, поставленному на голосование: Избрать Ахметова Равиля Наилевича генеральным директором общества. 2.7. Дата составления и номер протокола общего собрания акционеров эмитента- 27 апреля 2020 года, протокол № 2. 2.8. Идентификационные признаки акций, владельцы которых имели право на участие в общем собрании акционеров эмитента- обыкновенные именные бездокументарные акции, государственный регистрационный номер выпуска 1-01-55352D, дата государственной регистрации 19.08.2008г. 3. Подпись 3.1. Генеральный директор АО ""Торговый дом Казанский ЦУМ"" __________________ Ахметов Р.Н. подпись Фамилия И.О. 3.2. Дата 27.04.2020г. М.П.";;Вопрос поднимался
"ПАО ""Ураласбест""";6603001252;1026600626;"Открытое акционерное общество ""Уральский асбестовый горно - обогатительный комбинат""";"ОАО ""Ураласбест""";индекс 624261, страна РФ, область Свердловская, город Асбест, улица Уральская, дом 66;очное;27/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""Металлист-Самара""";6318105574;1026301520;"Акционерное Общество ""Металлист - Самара""";"АО ""Металлист - Самара""";индекс 443023, город Самара, улица Промышленности;очное;27/04/2020;Принято решение выплачивать дивиденды;Аудит-Альянс;;Вопрос поднимался
"ПАО ""Электровыпрямитель""";1325013893;1021301064;"Публичное акционерное общество ""Электровыпрямитель""";"ПАО ""Электровыпрямитель""";республика Мордовия, город Саранск;собрание;27/04/2020;Принято решение выплачивать дивиденды;Силаудит;;Вопрос поднимался
"ОАО ""Яргоргражданстрой""";7601001202;1027600687;"Открытое акционерное общество ""Яргоргражданстрой""";"ОАО ""Яргоргражданстрой""";страна Россия, индекс 150049, город Ярославль, улица Лисицына, дом 3-а;очное;23/04/2020;Принято решение не выплачивать дивиденды;АУДИТ-ГАРАНТ;;Вопрос поднимался
"АО ""Труд""";3812035570;1023801749;"Акционерное общество ""Труд""";"АО ""Труд""";индекс 664017, город Иркут, улица Академическая;очное;24/04/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""НОВАТЭК""";6316031581;1026303117;"Публичное акционерное общество ""НОВАТЭК""";"ПАО ""НОВАТЭК""";автономный округ Ямало-Ненецкий, город Тарко-Сале;заочное голосование;27/04/2020;Принято решение выплачивать дивиденды;НОВАТЭК;;Вопрос поднимался
"Калач ОАО ""СХТ""";3610001113;1023600794;"Калачеевское открытое акционерное общество ""Сельхозтехника""";"Калач ОАО ""СХТ""";индекс 397602, область Воронежская, город Калач, улица Северная, дом 45;собрание;23/04/2020;Принято решение не выплачивать дивиденды; МЕГА АУДИТ;;Вопрос поднимался
"АО ""АСТЗ""";1301011495;1021300546;"Открытое акционерное общество ""Ардатовский светотехнический завод""";"ОАО ""АСТЗ""";индекс 431890, республика Мордовия, посёлок Тургенево, улица Заводская, дом 73;очное;27/04/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""Радуга""";6325007384;1026303059;"Открытое акционерное общество ""Радуга""";"ОАО ""Радуга""";индекс 446000, город Сызрань, улица Победы, дом 16;собрание;23/04/2020;Принято решение не выплачивать дивиденды;АУДИТ СЕРВИС;6325014952;Вопрос поднимался
"ПАО СЗ ""ЭКРАН""";6319033724;1026301697;"Публичное акционерное общество Самарский завод ""ЭКРАН""";"ПАО СЗ ""ЭКРАН""";индекс 443052, город Самара, проспект Кирова;собрание;27/04/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""Улан-Удэнская птицефабрика""";0308000540;1020300904;"Акционерное общество ""Улан - Удэнская птицефабрика""";"АО ""Улан - Удэнская птицефабрика""";индекс 670013, республика Бурятия, город Улан-Удэ, посёлок Южный, переулок Псковский;очное;31/03/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Бурятзолото""";0323027345;1020300962;"Публичное акционерное общество ""Бурятзолото""";"ПАО ""Бурятзолото""";индекс 670045, республика Бурятия, город Улан-Удэ, улица Шаляпина, дом 5 В;очное;27/03/2020;Вопрос не поднимался;Бурятзолото;7708096662;Вопрос не поднимался
"АО ""Органика""";4221000630;1024201820;"Акционерное общество ""Органика""";"АО ""Органика""";индекс 654034, страна Россия, область Кемеровская, город Новокузнецк, шоссе Кузнецкое;собрание;24/04/2020;Принято решение выплачивать дивиденды;ЮжкузбассАудит;;Вопрос поднимался
"АО ""Дальсвязьстрой""";2702010677;1022701190;"Акционерное общество ""Дальсвязьстрой""";"АО ""Дальсвязьстрой""";улица Сидоренко, дом 1, город Хабаровск, страна Россия, индекс 680015;собрание;27/04/2020;Принято решение выплачивать дивиденды;Дальсвязьстрой;;Вопрос поднимался
"АО ""ЦКБ АСУ""";7723007466;1027739553;"Акционерное Общество ""Центральное Конструкторское бюро автоматизированной системы управления""";"АО ""ЦКБ АСУ""";индекс 109390, страна РФ, город Москва, улица Артюхиной, дом 6-Б;заочное голосование;24/04/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
ООО «Ситиматик-Югра»;8601064050;1178617001;"Общество с ограниченной ответственностью ""Ресурсосбережение ХМАО""";"ООО ""РСБ ХМАО""";страна Россия, автономный округ Ханты-Мансийский, город Ханты-Мансийск;заочное голосование;24/04/2020;Вопрос не поднимался;Аудит и право;;Вопрос не поднимался
"АО ""Рязанский горпищекомбинат""";6231006794;1026201263;"Акционерное общество ""Рязанский Городской Пищекомбинат""";"АО ""Рязанский горпищекомбинат""";индекс 390006, город Рязань, улица Фирсова, дом 27;очное;20/04/2020;Вопрос не поднимался;Бизнес-Консалтинг-Аудит;;Вопрос поднимался
